Date,Close,Open,High,Low,Volume,SMA_20,SMA_50,Signal_SMA,ADXP,ADXM,ADX,APO,MFI,Signal_MFI,SAR,RSI,Signal_RSI,UltimateOScillator,Signal_UO,upper,middle,lower,Signal_BB,WMA,Signal_WMA,EMA,Signal_EMA,DEMA,Signal_DEMA,STOCH,Signal_STOCH,Close_1,crecimiento,precios_lead1,target
2022-10-24,149.45,147.185,150.23,146.0,75981918,,,1,,,,,,-1,,,0,,0,,,,0,,0,,0,,0,,0,152.34,1.0038252690234784,0.9960561346457129,1
2022-10-25,152.34,150.09,152.49,149.36,74732290,,,1,,,,,,1,146.0,,0,,0,,,,0,,0,,0,,0,,0,149.35,0.9960561346457129,0.9938199646875429,0
2022-10-26,149.35,150.96,151.99,148.04,88436172,,,1,,,,,,1,146.1298,,0,,0,,,,0,,0,,0,,0,,0,144.8,0.9938199646875429,1.014639054388942,0
2022-10-27,144.8,148.07,149.046,144.13,109180150,,,1,,,,,,-1,152.49,,0,,0,,,,0,,0,,0,,0,,0,155.74,1.014639054388942,0.9969235947291476,1
2022-10-28,155.74,148.2,157.5,147.82,164762371,,,1,,,,,,1,144.13,,0,,0,,,,0,,0,,0,,0,,0,153.34,0.9969235947291476,0.9964832870251943,0
2022-10-31,153.34,153.155,154.24,151.92,97943171,,,1,,,,,,1,144.13,,0,,0,,,,0,,0,,0,,0,,0,150.65,0.9964832870251943,0.9924189517818979,0
2022-11-01,150.65,155.08,155.45,149.13,80379345,,,1,,,,,,1,144.3974,,0,,0,,,,0,,0,,0,,0,,0,145.03,0.9924189517818979,0.9912937746319233,0
2022-11-02,145.03,148.945,152.17,145.0,93604623,,,1,,,,,,1,144.65945200000002,,0,,0,,,,0,,0,,0,,0,,0,138.88,0.9912937746319233,0.9992689477567247,0
2022-11-03,138.88,142.06,142.8,138.75,97918516,,,1,,,,,,-1,157.5,,0,,0,,,,0,,0,,0,,0,,0,138.38,0.9992689477567247,1.0007900002071382,0
2022-11-04,138.38,142.09,142.67,134.38,140814796,,,1,10.714000000000027,22.77000000000001,,,,-1,157.125,,0,,0,,,,0,,0,,0,,0,,0,138.92,1.0007900002071382,1.0008444384527446,1
2022-11-07,138.92,137.11,139.145,135.671,83374628,,,1,9.642600000000025,20.49300000000001,,,,-1,156.2152,,0,,0,,,,0,,0,,0,,0,,0,139.5,1.0008444384527446,0.9931646804045391,1
2022-11-08,139.5,140.41,141.43,137.49,89908477,,,1,10.963340000000018,18.443700000000007,,,,-1,155.341792,,0,,0,,,,0,,0,,0,,0,,0,134.87,0.9931646804045391,1.0173799100684002,0
2022-11-09,134.87,138.5,138.55,134.5933,74917794,,,1,9.867006000000016,19.496030000000015,,,,-1,154.50332032,,0,,0,,,,0,,0,,0,,0,,0,146.87,1.0173799100684002,1.0038250860128155,1
2022-11-10,146.87,141.24,146.87,139.5,118854028,,,1,17.20030540000001,17.546427000000016,,,,-1,153.6983875072,,0,,0,,,,0,,0,,0,,0,,0,149.7,1.0038250860128155,0.9980971030242186,1
2022-11-11,149.7,145.82,150.01,144.37,93979665,,,1,18.620274859999995,15.791784300000014,,,39.08151910122831,-1,152.925652006912,50.210757039285106,0,,0,,,,0,,0,,0,,0,,0,148.28,0.9980971030242186,1.0023603331234856,0
2022-11-14,148.28,148.97,150.28,147.43,73374114,,,1,17.028247374000006,14.212605870000013,,,38.960780733276465,-1,152.18382592663554,48.94867936933407,0,,0,,,,0,,0,,0,,0,,0,150.04,1.0023603331234856,0.9983304384122976,1
2022-11-15,150.04,152.215,153.59,148.5613,89868332,,,1,18.63542263660001,12.791345283000013,,,45.504214884865924,1,134.38,50.60587439857191,0,,0,,,,0,,0,,0,,0,,0,148.79,0.9983304384122976,1.0025762723557146,0
2022-11-16,148.79,149.13,149.87,147.29,64218266,,,1,16.771880372940007,12.783510754700007,,,46.96730917833102,1,134.7642,49.37985186568532,0,,0,,,,0,,0,,0,,0,0.9897657493745737,-1,150.72,1.0025762723557146,1.0007526211285556,1
2022-11-17,150.72,146.43,151.48,146.15,80389400,,,1,16.704692335645994,11.505159679230006,,,43.16352096388283,1,135.140716,51.3400551415805,0,,0,,,,0,,0,,0,,0,0.950349845591747,-1,151.29,1.0007526211285556,0.9956330307319916,1
2022-11-18,151.29,152.305,152.7,149.97,74829573,146.84699999999998,,1,16.254223102081394,10.354643711307006,,,50.26303010436814,1,135.50970168,51.93207369259568,0,,0,157.03525934298975,146.84699999999998,136.6587406570102,0,,0,,0,,0,0.9356826529530959,-1,148.01,0.9956330307319916,1.0029125316354928,0
2022-11-21,148.01,150.16,150.37,147.715,58724070,146.775,,1,14.628800791873255,11.5741793401763,,,51.23927490530501,1,135.8713076464,48.291123920056876,0,,0,157.10198685297746,146.9577619047619,136.81353695654633,0,,0,,0,,0,0.9566153595004893,-1,150.18,1.0029125316354928,1.0011789556889519,1
2022-11-22,150.18,148.13,150.42,146.925,51804132,146.66699999999997,,1,13.16592071268593,11.206761406158662,,,57.52853684675653,1,136.225681493472,50.75118225740083,0,,0,157.251068814164,147.264641723356,137.27821463254799,0,,0,,0,,0,0.9742690684263365,-1,151.07,1.0011789556889519,0.9960563816417546,1
2022-11-23,151.07,149.45,151.83,149.34,58301395,146.753,,1,13.259328641417362,10.086085265542795,,,64.47472494348801,1,136.57296786360254,51.76476604020181,0,,0,157.71066756133038,147.6270567973221,137.5434460333138,0,,0,,0,,0,0.9750796262352135,-1,148.11,0.9960563816417546,0.9946747563419019,0
2022-11-25,148.11,148.305,148.88,147.12,35195860,146.9185,,1,11.933395777275626,11.297476738988514,,,70.49236916849033,1,136.91330850633048,48.210942547702686,0,,0,157.73639449608729,147.67305138805332,137.60970828001936,0,,0,,0,,0,0.9902531055979441,-1,144.22,0.9946747563419019,0.9957003395516955,0
2022-11-28,144.22,145.14,146.64,143.38,69346522,146.3425,,1,10.740056199548064,13.907729065089672,,,71.17139796870887,1,137.24684233620388,43.94142942618442,0,,0,156.76591598425665,147.34418935109588,137.9224627179351,0,,0,,0,,0,1.100531847714223,1,141.17,0.9957003395516955,1.0095859505235314,0
2022-11-29,141.17,144.29,144.81,140.355,83763803,145.73399999999998,,1,9.666050579593257,15.54195615858071,,1.5534615384616188,63.16679311065382,1,137.5737054894798,40.88423193099475,0,,0,155.91975086715848,146.7561713176582,137.5925917681579,0,,0,,0,,0,1.2899701476035808,1,148.03,1.0095859505235314,1.0003781398673388,1
